公司,航班号,起飞机场,到达机场,起飞时间,到达时间,机型,价格,最大折扣,满载,当前人数,起始城市,到达城市
中国南方航空(集团)公司,CZ3640,黄花机场,凤凰国际机场,19:20,21:30,320,2896,0.04,260,252,长沙,三亚
中国南方航空(集团)公司,CZ8109,黄花机场,永强机场,16:45,17:55,320,3220,0,140,132,长沙,温州
中国南方航空(集团)公司,CZ3248,巫家坝国际机场,两江国际机场,17:05,18:30,JET,3644,0.2,220,211,昆明,桂林
四川航空股份有限公司,3U9217,双流国际机场,宝安国际机场,8:50,10:50,319,1746,0,270,260,成都,深圳
中国南方航空(集团)公司,CZ3126,太平机场,黄花机场,17:50,22:55,320,3064,0.4,210,206,哈尔滨,长沙
四川航空股份有限公司,3U8755,双流国际机场,凤凰国际机场,20:55,23:05,320,2760,0.4,190,181,成都,三亚
中国国际航空公司,CA4326,宝安国际机场,双流国际机场,13:00,15:20,733,1497,0.1,120,116,深圳,成都
中国南方航空(集团)公司,CZ3701,新白云国际机场,太原武宿机场,8:40,11:10,JET,2796,0.1,290,287,广州,太原
中国南方航空(集团)公司,CZ6959,地窝堡国际机场,遥墙机场,10:50,16:10,73G,2714,0.4,250,246,乌鲁木齐,济南
中国南方航空(集团)公司,CZ3374,永州机场,新白云国际机场,11:35,14:10,ERJ,1501,0.14,280,273,永州,广州
中国南方航空(集团)公司,CZ3864,巫家坝国际机场,外砂机场,21:10,23:50,JET,1961,0.25,130,121,昆明,汕头
中国南方航空(集团)公司,CZ8110,永强机场,黄花机场,18:45,20:05,320,3125,0.1,230,226,温州,长沙
中国国际航空公司,CA408,贡嘎机场,双流国际机场,15:00,17:00,319,2038,0.3,180,171,拉萨,成都
中国南方航空(集团)公司,CZ6842,阿勒泰机场,地窝堡国际机场,21:10,22:00,AT7,1750,0.1,270,263,阿勒泰,乌鲁木齐
中国南方航空(集团)公司,CZ6308,太原武宿机场,江北国际机场,12:45,14:30,73G,2833,0.4,150,144,太原,重庆
中国南方航空(集团)公司,CZ3341,天河机场,吴圩机场,16:45,18:10,73G,2459,0.3,100,93,武汉,南宁
四川航空股份有限公司,3U3234,龙洞堡机场,桃仙机场,13:55,18:20,EMB,2279,0.3,210,206,贵阳,沈阳
中国南方航空(集团)公司,CZ3565,宝安国际机场,骆岗机场,8:20,10:05,320,3244,0.5,130,122,深圳,合肥
中国南方航空(集团)公司,CZ3783,天河机场,永强机场,10:30,12:00,73G,1638,0,190,187,武汉,温州
中国国际航空公司,CA8232,新白云国际机场,天河机场,16:45,18:15,320,1319,0.1,140,134,广州,武汉
上海航空公司,FM5145,虹桥国际机场,滨海国际机场,10:45,12:45,737,3134,0.2,230,224,上海,天津
中国南方航空(集团)公司,CZ3410,巫家坝国际机场,新白云国际机场,13:05,14:55,73G,1472,0.3,260,255,昆明,广州
四川航空股份有限公司,3U8747,江北国际机场,新白云国际机场,18:50,20:35,320,2674,0.3,180,171,重庆,广州
中国国际航空公司,CA1404,巫家坝国际机场,首都国际机场,11:50,14:55,757,1231,0.3,230,221,昆明,北京
四川航空股份有限公司,3U8908,萧山国际机场,九黄机场,6:50,9:50,319,3638,0.1,110,107,杭州,九寨沟
中国南方航空(集团)公司,CZ3265,两江国际机场,萧山国际机场,12:55,14:45,73G,2198,0.03,260,250,桂林,杭州
中国南方航空(集团)公司,CZ6725,凤凰国际机场,大庆萨尔图机场,9:20,15:55,73G,3423,0.2,260,256,三亚,大庆
中国南方航空(集团)公司,CZ3635,新白云国际机场,观音机场,8:35,12:10,320,2935,0.2,250,244,广州,徐州
中国国际航空公司,CA1397,首都国际机场,宝安国际机场,14:30,17:30,32M,1920,0.2,240,235,北京,深圳
四川航空股份有限公司,3U8756,凤凰国际机场,双流国际机场,22:40,1:05,320,1683,0.1,170,162,三亚,成都
中国南方航空(集团)公司,CZ3341,天河机场,美兰机场,16:45,19:50,73G,3009,0.4,200,197,武汉,海口
中国南方航空(集团)公司,CZ3603,周水子机场,太平机场,13:10,14:30,JET,3348,0.4,290,284,大连,哈尔滨
中国南方航空(集团)公司,CZ3660,桃仙机场,禄口国际机场,18:50,20:50,320,2886,0.4,130,124,沈阳,南京
四川航空股份有限公司,3U8813,观音机场,周水子机场,14:40,15:55,319,3772,0,300,290,徐州,大连
中国国际航空公司,CA4189,双流国际机场,长春龙嘉国际机场,8:20,11:40,319,2640,0.4,150,140,成都,长春
中国南方航空(集团)公司,CZ3834,泉州晋江机场,宝安国际机场,22:45,23:50,320,1594,0.05,260,256,晋江,深圳
鹰联航空公司,EU2725,双流国际机场,正定国际机场,15:40,17:40,319,2819,0.2,220,216,成都,石家庄
中国南方航空(集团)公司,CZ3398,禄口国际机场,新郑机场,22:30,23:40,733,2708,0.38,100,91,南京,郑州
中国南方航空(集团)公司,CZ3662,新白云国际机场,龙洞堡机场,10:25,11:55,738,2310,0.1,260,256,广州,贵阳
中国国际航空公司,CA1769,萧山国际机场,江北国际机场,18:10,20:30,319,1648,0,290,287,杭州,重庆
四川航空股份有限公司,3U8702,宝安国际机场,双流国际机场,10:25,12:45,320,2387,0.3,280,275,深圳,成都
中国南方航空(集团)公司,CZ3255,首都国际机场,黄金机场,13:30,15:55,319,3552,0.1,110,102,北京,赣州
中国国际航空公司,CA1106,白塔机场,首都国际机场,7:00,7:55,733,1818,0.4,260,253,呼和浩特,北京
中国南方航空(集团)公司,CZ6451,桃仙机场,龙洞堡机场,9:00,14:00,M90,2546,0.1,150,145,沈阳,贵阳
中国南方航空(集团)公司,CZ6676,库尔勒机场,地窝堡国际机场,14:25,15:20,JET,1894,0.1,200,190,库尔勒,乌鲁木齐
中国国际航空公司,CA4230,龙洞堡机场,双流国际机场,15:35,16:40,733,3053,0.3,180,172,贵阳,成都
四川航空股份有限公司,3U8960,长乐机场,江北国际机场,12:20,15:45,320,3191,0.5,240,235,福州,重庆
